tag,posture,scenario,EVA_stressed,RWA_stressed,EL_stressed
pc9_final_postfix_clean,prudencial,baseline,-364759635.5607531,1832460164.5,235351790.0467531
pc9_final_postfix_clean,prudencial,mild,-461975015.2395038,2015706180.9500003,314242568.0805037
pc9_final_postfix_clean,prudencial,severe,-647573609.7881296,2290575205.625,472354260.1616297
pc9_final_postfix_clean,prudencial,pricing_crunch,-364759635.5607531,1832460164.5,235351790.0467531
pc9_final_postfix_clean,balanceado,baseline,-237179090.805965,1220267343.0,151031533.421965
pc9_final_postfix_clean,balanceado,mild,-300054490.652158,1342294077.3000002,201704259.838158
pc9_final_postfix_clean,balanceado,severe,-419950615.0861975,1525334178.75,303296374.1271975
pc9_final_postfix_clean,balanceado,pricing_crunch,-237179090.805965,1220267343.0,151031533.421965
pc9_final_postfix_clean,desinversion,baseline,-67761524.25519694,362896501.5,42151846.969196945
pc9_final_postfix_clean,desinversion,mild,-85681073.01003633,399186151.65000004,56442430.70903634
pc9_final_postfix_clean,desinversion,severe,-119885664.07479542,453620626.875,85203574.25129543
pc9_final_postfix_clean,desinversion,pricing_crunch,-67761524.25519694,362896501.5,42151846.969196945
