posture,segment,pct_MANTENER,pct_REESTRUCTURAR,pct_VENDER,n_loans,total_EAD,mean_EAD,total_RWA,total_EL,mean_PD,mean_LGD,mean_DPD,total_EVA_post,total_capital_lib
prudencial,Corporate,80.28169014084507,4.929577464788732,14.788732394366196,142,909967979.0,6408225.204225352,1364951968.5,164976063.64117408,0.4242253521126761,0.42972105415317813,202.76760563380282,179164721.84542403,63068021.5662449
prudencial,Large Corporate,56.41025641025641,32.47863247863248,11.11111111111111,117,2699583423.0,23073362.589743588,4049375134.5,518783557.58793575,0.43256410256410255,0.44139158330271283,204.81196581196582,510081039.8597748,187177656.62547606
prudencial,MidCap,90.625,0.0,9.375,96,196784798.0,2049841.6458333333,295177197.0,36117355.25572063,0.4281249999999999,0.43409354721880095,216.8125,38880710.16541998,13622177.65968519
prudencial,Mortgage,97.77777777777777,0.0,2.2222222222222223,45,17302278.0,384495.06666666665,17302278.0,3140535.141035937,0.43044444444444446,0.4265582438380207,229.22222222222223,-812492.3418502819,1162042.0350000001
prudencial,Project Finance,100.0,0.0,0.0,21,216360136.0,10302863.61904762,324540204.0,40715286.348474875,0.43047619047619046,0.42761127096189366,200.95238095238096,14026669.923116377,15453721.735940259
prudencial,SME,86.07594936708861,0.0,13.924050632911392,79,36828048.0,466177.82278481015,55242072.0,7168459.260922671,0.43025316455696205,0.43756245679974165,217.50632911392404,7291292.225343593,2549297.4602622506
balanceado,Corporate,11.971830985915492,51.40845070422535,36.61971830985916,142,909967979.0,6408225.204225352,1364951968.5,164976063.64117408,0.4242253521126761,0.42972105415317813,202.76760563380282,177530314.24091914,63055023.119693115
balanceado,Large Corporate,14.529914529914532,33.33333333333333,52.13675213675214,117,2699583423.0,23073362.589743588,4049375134.5,518783557.58793575,0.43256410256410255,0.44139158330271283,204.81196581196582,492921911.234738,188551446.58272466
balanceado,MidCap,8.333333333333332,65.625,26.041666666666668,96,196784798.0,2049841.6458333333,295177197.0,36117355.25572063,0.4281249999999999,0.43409354721880095,216.8125,38880710.16541998,13622177.65968519
balanceado,Mortgage,91.11111111111111,0.0,8.88888888888889,45,17302278.0,384495.06666666665,17302278.0,3140535.141035937,0.43044444444444446,0.4265582438380207,229.22222222222223,-2253664.784517969,0.0
balanceado,Project Finance,23.809523809523807,28.57142857142857,47.61904761904761,21,216360136.0,10302863.61904762,324540204.0,40715286.348474875,0.43047619047619046,0.42761127096189366,200.95238095238096,11494830.82670854,15340369.774214193
balanceado,SME,0.0,79.74683544303798,20.253164556962027,79,36828048.0,466177.82278481015,55242072.0,7168459.260922671,0.43025316455696205,0.43756245679974165,217.50632911392404,7291292.225343593,2549297.4602622506
desinversion,Corporate,21.830985915492956,0.0,78.16901408450704,142,909967979.0,6408225.204225352,1364951968.5,164976063.64117408,0.4242253521126761,0.42972105415317813,202.76760563380282,0.0,143319956.6925
desinversion,Large Corporate,15.384615384615385,0.0,84.61538461538461,117,2699583423.0,23073362.589743588,4049375134.5,518783557.58793575,0.43256410256410255,0.44139158330271283,204.81196581196582,0.0,425184389.12250006
desinversion,MidCap,13.541666666666666,0.0,86.45833333333334,96,196784798.0,2049841.6458333333,295177197.0,36117355.25572063,0.4281249999999999,0.43409354721880095,216.8125,0.0,30993605.685000002
desinversion,Mortgage,28.888888888888886,0.0,71.11111111111111,45,17302278.0,384495.06666666665,17302278.0,3140535.141035937,0.43044444444444446,0.4265582438380207,229.22222222222223,-69507.74245380273,1759905.0000000002
desinversion,Project Finance,19.047619047619047,0.0,80.95238095238095,21,216360136.0,10302863.61904762,324540204.0,40715286.348474875,0.43047619047619046,0.42761127096189366,200.95238095238096,0.0,34076721.42
desinversion,SME,10.126582278481013,6.329113924050633,83.54430379746836,79,36828048.0,466177.82278481015,55242072.0,7168459.260922671,0.43025316455696205,0.43756245679974165,217.50632911392404,118049.18970388554,5747033.333569265
