scenario,posture,total_ead,total_eva_post,total_eva_pre,total_rwa_post,total_rwa_pre,capital_liberado,n_sales,n_restruct,n_mantener
baseline,prudencial,1493990320,280016125.2967214,-261505995.04628944,1249278637.9649181,2238053453.5,103598681.50118358,24,0,176
baseline,balanceado,1493990320,276347891.36382675,-261505995.04628944,1249277463.7515504,2238053453.5,103205753.3585872,69,100,31
baseline,desinversion,1493990320,4620.312364541787,-261505995.04628944,207286.86428665707,2238053453.5,234937556.76674992,154,4,42
mild,prudencial,1493990320,274710104.814016,-261505995.04628944,1274194684.9920058,2238053453.5,100982496.5633394,6,0,194
mild,balanceado,1493990320,270967086.7235843,-261505995.04628944,1275270390.4650521,2238053453.5,100476496.05366954,59,100,41
mild,desinversion,1493990320,3695.746114247111,-261505995.04628944,211909.69553665706,2238053453.5,234937071.3694687,138,4,58
severe,prudencial,1493990320,266889515.07232216,-261505995.04628944,1315901754.457787,2238053453.5,96603254.26943237,0,0,200
severe,balanceado,1493990320,262997362.93716723,-261505995.04628944,1317017170.1794271,2238053453.5,96093084.18366018,19,100,81
severe,desinversion,1493990320,2308.8967386577788,-261505995.04628944,218843.94241165707,2238053453.5,234936343.27354681,84,5,111
pricing_crunch,prudencial,1493990320,280016125.2967214,-261505995.04628944,1249278637.9649181,2238053453.5,103598681.50118358,24,0,176
pricing_crunch,balanceado,1493990320,276347891.36382675,-261505995.04628944,1249277463.7515504,2238053453.5,103205753.3585872,69,100,31
pricing_crunch,desinversion,1493990320,4620.312364541787,-261505995.04628944,207286.86428665707,2238053453.5,234937556.76674992,154,4,42
